  idA   idB nameA nameB    score
  001   014  1h1q    30    0.670
  003   014  1h1s    30    0.951
  001   004  1h1q  1oi9    0.905
  004   011  1oi9    26    0.905
  003   016  1h1s    32    0.819
  002   009  1h1r    21    0.891
  006   015  1oiy    31    0.905
  012   013    28    29    0.905
  001   008  1h1q    20    0.819
  001   002  1h1q  1h1r    0.905
  005   008  1oiu    20    0.577
  009   010    21    22    0.951
  003   012  1h1s    28    0.905
  011   015    26    31    0.741
  002   007  1h1r    17    0.985
